All,Wszystko
"Choose Report Groups","Wybierz raport grupy"
"New Report","Nowy raport"
"Date Generated","Data wygenerowania"
"Report Groups","Raport grupy"
"Related Products Rule","Powiązane reguły produktów"
"Product Result Conditions (leave blank for matching all products)","Warunki dopasowania produktu (zostaw puste, aby dopasować wszystkie produkty)"
"Products to Display","Produkty do wyświetlania"
"Product Match Conditions (leave blank for matching all products)","Warunki dopasowania produktu (zostaw puste, aby dopasować wszystkie produkty)"
"Products to Match","Produkty do dopasowania"
"General Rule Information",Ogólne
"Result Limit","Ograniczenie rezultatu"
"Maximum number of products this rule can apply to (up to 20).","Maksymalna liczba produktów tej reguły można zastosować do (do 20)."
"Product Rule Information","Informacje o regule produktu"
"Undefined Catalog Product List Type","Niezdefiniowany typ listy katalogów produktów"
"You deleted the rule.","Możesz usunąć regułę."
"We can't find a page to delete.","Nie możemy odnaleźć strony do usunięcia."
"New Related Products Rule","Nowe powiązania reguł produktów"
"Related Products Rules","Powiązane reguły produktów"
"You saved the rule.","Zapisałeś regułę."
"We can't save the product rule right now.","W tej chwili nie możemy stworzyć reguły produktu."
"Please specify a correct rule.","Proszę określić poprawną regułę."
"Invalid product list type","Nieprawidłowy rodzaj listy produktów"
"Invalid rotation mode type","Nieprawidłowy rodzaj modelu obrotu"
"Product %1%2%3%4%5%6%7","Produkt %1%2%3%4%5%6%7"
"Constant Value","Stała wartość"
"the Same as Matched Product Categories","tylko dla dopasowanych kategorii produktów"
"the Child of the Matched Product Categories","podkategorie dopasowanych kategorii produktów"
"Matched Product %1","Dopasowany produkt %1"
"Target Product","Produkt docelowy"
"Price (percentage)","Cena (procentowo)"
"Product Special","Produkt specjalny"
"equal to",równy
more,więcej
less,mniej
"Product Price is %1 %2% of Matched Product(s) Price","Cena produktu jest %1 %2% ceny dopasowanych produktów"
"Please define a product data object.","Proszę określić obiekt danych produktu."
"We can't rebuild the index for an undefined product.","Nie można przebudować indeksu dla niezdefiniowanego produktu."
"Could not rebuild index for empty products array","Nie można przebudować indeksu do pustej tablicy produktów"
"Related Products","Produkty powiązane"
Up-sells,"Produkty alternatywne"
Cross-sells,"Sprzedaże krzyżowe"
"Model class name for attribute is invalid","Nazwa klasy modelu atrybutu jest nieprawidłowa"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","Kod tej cechy jest nieprawidłowy. Proszę używać tylko liter (a-z), cyfr (0-9) lub podkreślnika (_), oraz upewnić się, że kod zaczyna się od litery."
"Both Selected and Rule-Based","Zarówno wybrane jak i oparte na regułach"
"Selected Only","Tylko wybrane"
"Rule-Based Only","Oparte tylko na regułach"
"Do not rotate","Nie obracaj"
Shuffle,Losowo
"Rule-based Settings","Ustawienia oparte na regułach"
"Rule-based Positions","Pozycje oparte na regułach"
"Position Behavior","Zachowanie pozycji"
"Rule-Based Product Relations","Relacje między produktami oparte na regułach"
"Maximum Number of Products in Related Products List","Maksymalna liczba produktów na liście produktów pokrewnych"
"Show Related Products","Pokaż produkty pokrewne"
"Rotation Mode for Products in Related Product List","Tryb obracania produktów znajdujących się na liście produktów związanych"
"Maximum Number of Products in Cross-Sell Product List","Maksymalna liczba produktów na liście sprzedaży krzyżowej"
"Show Cross-Sell Products","Pokaż produkty sprzedaży krzyżowej"
"Rotation Mode for Products in Cross-Sell Product List","Tryb obracania produktów na liście sprzedaży krzyżowej"
"Maximum Number of Products in Upsell Product List","Maksymalna liczba produktów na liście upsell"
"Show Upsell Products","Pokaż produkty upsell"
"Rotation Mode for Products in Upsell Product List","Tryb obracania produktów znajdujących się na liście upsell"
"Target Rule","Reguły docelowe"
"Target Rule Index","Cel reguł indeksu"
"Product/Target Rule","Produkt/Cel reguły"
"Indexed product/rule association","Indeksowane powiązanie produkt/reguła"
"Target Rule/Product","Cel reguł/produkt"
"Indexed rule/product association","Indeksowane powiązanie reguła/produkt"
"No token found.","Nie znaleziono tokenu."
"Wrong request.","Nieprawidłowe żądanie."
"Deletion failure. Please try again.","Usuwanie awarii. Proszę spróbować ponownie."
"Stored Payment Method was successfully removed","Stored Payment Method was successfully removed"
"Stored Payment Methods","Stored Payment Methods"
"No available payment tokens for specified order payment.","No available payment tokens for specified order payment."
"Card Number","Numer karty"
"You have no stored payment methods.","You have no stored payment methods."
"PayPal Account","Konto PayPal"
"Delete Current Hierarchy","Usuń bieżącą hierarchię"
Copy,Kopia
"Pages Hierarchy","Hierarchia stron"
"Page Properties","Właściwości strony"
"Preview is not available.","Podgląd nie jest dostępny."
"Render Metadata in HTML Head.","Renderowanie metadanych w nagłówku HTML."
Next/Previous,Następny/Poprzedni
"Enable Chapter/Section","Włącz rozdział/sekcję"
"Enables Chapter/Section functionality for this node, its sub-nodes and pages","Zaznaczenie włącza funkcję rozdziału/sekcji dla tego węzła, jego węzłów podrzędnych oraz stron"
Chapter/Section,Rozdział/sekcja
"Defines this node as Chapter/Section","Określa węzeł jako rozdział/sekcję"
"Pagination Options for Nested Pages","Opcje paginacji dla zagnieżdżonych stron"
"Enable Pagination","Włącz podział na strony"
Frame,Ramka
"Set the number of links to display at one time.","Ustaw liczbę linków do wyświetlania w jednym czasie."
"Frame Skip","Pomiń ramkę"
"If the Current Frame Position does not cover Utmost Pages, will render Link to Current Position plus/minus this Value","Jeśli aktualna pozycja ramki nie pokrywa najwyższych stron, wyrenderuje link do aktualnej pozycji plus/minus ta wartość"
"Page Navigation Menu Options","Opcje menu nawigacji strony"
"Exclude from Navigation Menu","Wyłączyć z menu nawigacji"
"Show in navigation menu.","Pokaż w menu nawigacji."
"Menu Layout","Układ menu"
"Only Children","Tylko dzieci"
"Neighbours and Children","Sąsiedzi i dzieci"
"Menu Detalization","Poziom szczegółowości menu"
"Maximal Depth","Maksymalna głębokość"
"Node Levels to Include","Poziomy węzła do uwzględnienia"
"List Type","Rodzaj listy"
"List Style","Styl listy"
"Main Navigation Menu Options","Opcje głównego menu nawigacyjnego"
"Add selected page(s) to the tree","Dodaj wybrane strony"
"Remove from tree.","Usunąć z drzewa."
"Add Node...","Dodawanie węzła..."
"Add to tree.","Dodać do drzewa."
Update,Aktualizuj
"Node Properties","Właściwości węzła"
"Page ID","Identyfikator strony"
"Manage Hierarchies","Zarządzaj hierarchiami"
Hierarchy,Hierarchia
Home,"Strona główna"
"Go to Home Page","Przejdź na stronę główną"
"You copied the pages hierarchy to the selected scopes.","Skopiowano hierarchię stron do wybranych zakresów."
"Something went wrong while copying the hierarchy.","Coś się zepsuło podczas kopiowania hierarchii."
"Please correct the scope.","Popraw zakres."
"You deleted the pages hierarchy from the selected scopes.","Usunąłeś hierarchię stron z wybranych zakresów."
"Something went wrong while deleting the hierarchy.","Coś się zepsuło podczas usuwania hierarchii."
CMS,CMS
"CMS Page Trees","Drzewa stron CMS"
"You have saved the hierarchy.","Zapisałeś hierarchię."
"Something went wrong while saving the hierarchy.","Coś się zepsuło podczas kopiowania hierarchii."
"Manage Pages","Zarządzanie stronami"
Protected,Chroniony
"Delete Multiple Hierarchies","Usuń wiele hierarchii"
"Please correct the node data.","Proszę poprawić dane."
"CMS Node with id ""%1"" does not exist.","Strona CMS o id ""%1"" nie istnieje."
"Tree Viewed","Wyświetlone drzewo"
Chapter,Rozdział
Section,Sekcja
Both,Zarówno
"Use default","Użyj domyślnego"
Default,Domyślny
"Numbers (1, 2, 3, ...)","Numery (1, 2, 3,...)"
"Lower Alpha (a, b, c, ...)","Małe znaki alfanumeryczne (a, b, c, ...)"
"Upper Alpha (A, B, C, ...)","Duże znaki alfanumeryczne (A, B, C, ...)"
"Lower Roman (i, ii, iii, ...)","Małe cyfry rzymskie (i, ii, iii, ...)"
"Upper Roman (I, II, III, ...)","Duże cyfry rzymskie (I, II, III, ...)"
Circle,Koło
Disc,Dysk
Square,Plac
Unordered,Nieuporządkowana
"Use Parent","Użyj rodzica"
"Use the parent node hierarchy.","Użyj hierarchii węzła nadrzędnego."
"Are you sure you want to delete current hierarchy?","Czy na pewno chcesz usunąć bieżącą hierarchię?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","Ta strona nie może zostać dodana ponieważ węzeł lub strona z tym samym kluczem URL już istnieje w tej części drzewa."
"This URL key is already in use.","Ten klucz URL jest już w użyciu."
"Please select a website or store view.","Proszę wybierz stronę lub widok sklepu."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Czy na pewno chcesz skopiować bieżącą hierarchię do wybranych miejsc docelowych?"
"Are you sure you want to delete the selected hierarchies?","Czy na pewno chcesz usunąć wybrane hierarchie?"
"Please select one or more hierarchies to delete.","Wybierz jedną lub więcej hierarchii do usunięcia."
"Please assign the current hierarchy to one or more destinations.","Przypisz bieżącą hierarchię do jednego lub więcej miejsc."
Root,Baza
"No nodes are available","Węzły nie są dostępne"
"Single Hierarchy for All Store Views","Wspólna hierarchia dla wszystkich widoków sklepów"
"Specific Hierarchy for Each Store View","Określ hierarchię dla każdego widoku sklepu"
"CMS Hierarchy for","Hierarchia stron CMS dla"
"Anchor Custom Text","Własny tekst kotwicy"
"If this value is empty, the node or page name will be used.","Jeśli wartość ta jest pusta, nazwa węzła lub strony będzie używana."
"Anchor Custom Title","Własny tytuł kotwicy"
Node,Węzeł
"Not Selected","Nie wybrano"
"Select a page or node.","Wybierz węzeł lub stronę."
"Parent page","Strona rodzica"
"Website Root","Strona bazowa"
Page:,Strona:
Page,Strona
"You're currently reading page","Aktualnie czytasz stronę"
"Delete Revision and Version","Usuń rewizję oraz wersję"
"Publish Revision","Opublikuj rewizję"
Pages,Strony
"CMS Page Hierarchy","Hierarchia strony CMS"
"Enable Hierarchy Functionality","Włącz funkcję hierarchii"
"Enable Hierarchy Metadata","Włącz metadanych hierarchii"
"Default Layout for Hierarchy Menu","Domyślny układ hierarchii menu"
"CMS Hierarchy","Hierarchia stron CMS"
"CMS Hierarchy Node Link","Odnośnik do węzła w hierarchii CMS"
"Link to Specified CMS Hierarchy Node","Link do określonego węzła hierarchii CMS"
"CMS Page Link Block Template","Szablon blokowy linku strony CMS"
"CMS Page Link Inline Template","Szablon liniowy linku strony CMS"
"Search All Products","Szukaj wszystkich produktów"
"Add Product by SKU","Dodaj produkt przez SKU"
Unassign,Odepnij
Bottom,Dół
"Choose a selection...","Wybierz selekcje..."
"No SKU entered","Nie wprowadzono SKU"
"Undefined Action","Niezdefiniowana akcja"
"Products with the following SKUs do not exist: %s","Nie istnieją produkty z następującymi SKU: %s"
"%s SKU(s) processed successfully","%s SKU(s) pomyślnie przetworzone"
"On Top","Na górze"
"On Bottom","Na dole"
"Category rules validation failed","Nie można sprawdzić poprawności reguł kategorii"
"Clone category ID(s)","Klon kategorii ID"
"Date Created (days ago)","Data Utworzenia (dni temu)"
"Date Modified (days ago)","Data modyfikacji (dni temu)"
"Error in reading category rules","Wystąpił błąd podczas odczytu reguł kategorii"
"There was no category rules to apply","Nie było żadnych zasad kategorii do zastosowania"
"Category rules applied","Zastosowane Zasady Kategorii"
Equal,Równe
"Not equal",Różne
"Greater than","Większa niż"
"Greater than or equal to","Równe lub większe niż"
"Less than","Mniejszy/a niż"
"Less than or equal to","Równa lub mniejsza niż"
Contains,Zawiera
"Error in yes/no format","Błąd w formacie tak/nie"
"Category ID '%1' not found","Nie znaleziono ID kategorii '%1'"
"%1 doesn't implement SortInterface","%1 nie zaimplementowano SortInterface"
"Move low stock to top","Przenieś niską akcję do góry"
"Name: A - Z","Nazwa: A - Z"
"Name: Z - A","Nazwa: Z - A"
"Newest products first","Najnowsze produkty pierwsze"
"Move out of stock to bottom","Przenieś niedostępne do dołu"
"Price: High to low","Cena: Od najwyższej do najniższej"
"Price: Low to high","Cena: Od najniższej do najwyższej"
